listing_id,date
16838562,2017-05-28
9756835,2016-03-11
9756835,2016-03-18
9756835,2016-03-21
9756835,2016-03-24
9756835,2016-04-09
9756835,2016-04-10
9756835,2016-04-14
9756835,2016-04-15
9756835,2016-04-24
9756835,2016-05-07
9756835,2016-05-08
9756835,2016-05-13
9756835,2016-05-18
9756835,2016-05-19
9756835,2016-05-22
9756835,2016-06-13
9756835,2016-06-18
9756835,2016-06-19
9756835,2016-06-24
9756835,2016-06-26
9756835,2016-06-30
9756835,2016-07-05
9756835,2016-07-15
9756835,2016-07-22
9756835,2016-07-27
9756835,2016-08-03
9756835,2016-08-11
9756835,2016-08-11
9756835,2016-08-27
9756835,2016-08-28
9756835,2016-09-12
9756835,2016-09-14
9756835,2016-09-19
9756835,2016-09-25
9756835,2016-09-30
9756835,2016-10-08
9756835,2016-10-10
9756835,2016-10-15
9756835,2016-10-17
9756835,2016-10-23
9756835,2016-12-18
9756835,2017-01-21
9756835,2017-01-22
9756835,2017-01-31
9756835,2017-02-20
9756835,2017-02-23
9756835,2017-03-16
9756835,2017-03-18
9756835,2017-03-19
9756835,2017-03-24
9756835,2017-03-26
9756835,2017-04-01
9756835,2017-04-02
9756835,2017-04-03
9756835,2017-04-11
9756835,2017-04-15
9756835,2017-04-20
9756835,2017-04-23
9756835,2017-04-25
9756835,2017-04-28
9756835,2017-04-30
9756835,2017-05-04
9756835,2017-05-07
9756835,2017-05-13
9756835,2017-05-17
13186626,2016-06-02
13186626,2016-06-22
13186626,2016-07-07
13186626,2016-07-09
13186626,2016-07-14
13186626,2016-07-17
13186626,2016-08-04
13186626,2016-08-14
13186626,2016-08-19
13186626,2016-08-23
13186626,2016-08-25
15634502,2016-11-19
13857381,2016-07-31
13857381,2016-08-14
13857381,2016-08-20
13857381,2016-12-28
13857381,2017-01-02
13857381,2017-01-24
13857381,2017-02-21
13857381,2017-02-23
13857381,2017-02-27
16812462,2017-01-29
16812462,2017-01-29
16812462,2017-02-19
16812462,2017-02-26
16812462,2017-03-12
16812462,2017-03-16
16812462,2017-03-18
16812462,2017-03-26
16812462,2017-04-15
16812462,2017-04-16
16812462,2017-04-23
16812462,2017-04-30
16812462,2017-05-06
16812462,2017-05-21
16812462,2017-05-28
16069133,2017-05-14
17702291,2017-03-14
17702291,2017-04-16
472599,2012-10-16
472599,2014-05-26
472599,2015-06-18
472599,2016-04-07
472599,2016-05-31
472599,2016-09-06
472599,2017-02-24
472599,2017-05-01
472599,2017-05-25
14077923,2016-08-12
14077923,2016-08-20
14077923,2016-08-25
14077923,2016-08-31
14077923,2016-09-11
14077923,2016-09-27
14077923,2016-10-06
14077923,2016-10-10
14077923,2016-11-09
14077923,2016-11-27
14077923,2017-01-03
14077923,2017-03-06
14077923,2017-03-22
14077923,2017-04-04
14077923,2017-04-15
14077923,2017-04-24
14077923,2017-05-06
14077923,2017-05-16
11943900,2017-04-18
16895889,2017-05-31
796354,2015-07-26
796354,2015-08-20
796354,2015-12-28
796354,2016-01-05
18213495,2017-04-30
18213495,2017-05-15
18213495,2017-05-26
18213495,2017-05-29
6620431,2015-06-27
6620431,2015-07-08
6620431,2015-07-14
6620431,2015-07-18
6620431,2015-07-24
6620431,2015-09-01
6620431,2015-09-21
6620431,2015-09-26
6620431,2015-10-05
6620431,2015-10-12
6620431,2015-10-20
6620431,2015-10-27
6620431,2015-10-31
6620431,2015-11-20
6620431,2015-12-19
6620431,2015-12-25
6620431,2016-01-21
6620431,2016-04-16
6620431,2016-04-26
6620431,2016-04-30
6620431,2016-05-13
6620431,2016-05-24
6620431,2016-06-06
6620431,2016-07-01
6620431,2016-07-05
6620431,2016-08-16
6620431,2016-08-27
6620431,2016-09-02
6620431,2016-09-15
6620431,2016-09-20
6620431,2016-09-26
6620431,2016-10-02
6620431,2016-10-09
6620431,2016-12-06
6620431,2017-04-16
6620431,2017-04-24
6620431,2017-05-01
6620431,2017-05-08
6620431,2017-05-18
7915935,2015-11-13
7915935,2016-01-02
7915935,2016-04-09
7915935,2016-04-11
7915935,2016-04-16
7915935,2016-04-29
7915935,2016-05-03
7915935,2016-05-15
7915935,2016-06-10
7915935,2016-06-20
7915935,2016-06-30
7915935,2016-07-02
7915935,2016-07-04
7915935,2016-07-15
7915935,2016-07-20
7915935,2016-07-25
7915935,2016-07-28
7915935,2016-08-18
7915935,2016-09-05
7915935,2016-09-25
7915935,2016-10-01
7915935,2016-10-28
7915935,2016-12-09
7915935,2016-12-27
7915935,2017-01-01
18306134,2017-05-05
18306134,2017-05-15
15424403,2016-10-26
15424403,2016-11-22
15424403,2016-12-01
15424403,2016-12-11
15424403,2016-12-20
15424403,2017-01-02
15424403,2017-02-08
15424403,2017-03-26
16243949,2016-12-05
16243949,2016-12-11
16243949,2016-12-15
16243949,2016-12-18
16243949,2016-12-23
16243949,2016-12-26
16243949,2017-04-09
16243949,2017-05-07
16243949,2017-05-15
16243949,2017-05-17
16243949,2017-05-19
16243949,2017-05-30
11324662,2016-03-20
11324662,2016-03-23
11324662,2016-03-25
11324662,2016-03-30
11324662,2016-03-30
11324662,2016-04-05
11324662,2016-04-06
11324662,2016-04-09
11324662,2016-04-11
11324662,2016-04-17
11324662,2016-04-24
11324662,2016-04-28
11324662,2016-05-02
11324662,2016-05-09
11324662,2016-05-12
11324662,2016-05-16
11324662,2016-05-19
11324662,2016-05-24
11324662,2016-05-27
11324662,2016-05-28
11324662,2016-06-04
11324662,2016-06-09
11324662,2016-06-17
11324662,2016-06-23
11324662,2016-06-26
11324662,2016-07-02
11324662,2016-07-09
11324662,2016-07-15
11324662,2016-07-20
11324662,2016-07-24
11324662,2016-08-01
11324662,2016-08-06
11324662,2016-08-10
11324662,2016-08-14
11324662,2016-08-19
11324662,2016-08-26
11324662,2016-08-30
11324662,2016-09-03
11324662,2016-09-16
11324662,2016-09-19
11324662,2016-09-21
11324662,2016-09-22
11324662,2016-09-25
11324662,2016-09-28
11324662,2016-10-01
11324662,2016-10-02
11324662,2016-10-05
11324662,2016-10-18
11324662,2016-10-20
11324662,2016-10-26
11324662,2016-10-28
11324662,2016-11-03
11324662,2016-11-08
11324662,2016-11-12
11324662,2016-11-14
11324662,2016-11-18
11324662,2016-11-20
11324662,2016-11-24
11324662,2016-11-27
11324662,2016-11-29
11324662,2016-12-05
11324662,2016-12-08
11324662,2016-12-11
11324662,2016-12-16
11324662,2016-12-18
11324662,2017-01-02
11324662,2017-01-03
11324662,2017-01-06
11324662,2017-01-08
11324662,2017-01-15
11324662,2017-01-17
11324662,2017-01-18
11324662,2017-01-22
11324662,2017-01-23
11324662,2017-01-28
11324662,2017-01-29
11324662,2017-01-30
11324662,2017-02-02
11324662,2017-02-07
11324662,2017-02-12
11324662,2017-02-15
11324662,2017-02-16
11324662,2017-02-17
11324662,2017-02-20
11324662,2017-02-22
11324662,2017-02-26
11324662,2017-03-01
11324662,2017-03-04
11324662,2017-03-08
11324662,2017-03-10
11324662,2017-03-17
11324662,2017-03-19
11324662,2017-03-20
11324662,2017-03-27
11324662,2017-03-31
11324662,2017-04-02
11324662,2017-04-06
11324662,2017-04-09
11324662,2017-04-14
11324662,2017-04-18
11324662,2017-04-24
11324662,2017-04-26
11324662,2017-04-28
11324662,2017-05-01
11324662,2017-05-04
11324662,2017-05-08
11324662,2017-05-12
11324662,2017-05-14
11324662,2017-05-19
11324662,2017-05-21
11324662,2017-05-22
11324662,2017-05-24
11324662,2017-05-28
11324662,2017-05-29
16527769,2017-03-16
18654253,2017-05-14
18654253,2017-05-23
18654253,2017-05-27
18654253,2017-05-28
18654253,2017-05-31
15634307,2016-10-25
15634307,2016-10-30
15634307,2016-11-03
15634307,2016-11-09
15634307,2016-11-15
15634307,2016-11-22
15634307,2016-11-26
15634307,2016-11-27
15634307,2016-12-01
15634307,2016-12-03
15634307,2016-12-04
15634307,2016-12-08
15634307,2016-12-11
15634307,2016-12-15
15634307,2016-12-22
15634307,2016-12-29
15634307,2016-12-31
15634307,2017-02-18
15634307,2017-04-05
15634307,2017-04-07
15634307,2017-04-11
15634307,2017-04-13
15634307,2017-04-16
15634307,2017-04-17
15634307,2017-04-20
15634307,2017-04-22
15634307,2017-04-23
15634307,2017-04-27
15634307,2017-04-28
15634307,2017-05-01
15634307,2017-05-02
15634307,2017-05-04
15634307,2017-05-07
15634307,2017-05-14
15634307,2017-05-15
15634307,2017-05-16
15634307,2017-05-17
15634307,2017-05-20
15634307,2017-05-21
15634307,2017-05-22
15634307,2017-05-26
15634307,2017-05-30
15634307,2017-05-31
15634307,2017-06-02
12469595,2016-10-01
12469595,2016-10-12
12469595,2016-10-16
12469595,2016-11-29
12469595,2017-01-03
12469595,2017-02-02
12469595,2017-05-31
7410907,2016-02-27
7410907,2017-01-10
14825428,2016-09-07
14825428,2016-10-08
14825428,2016-11-21
14825428,2016-11-25
14825428,2016-11-30
